,JJ Width (top electrode),X-Coordinate,Y-Coordinate,Conductance (2W) [uS]
4934,124,20.72,10.975,114.673483
4935,132,18.72,10.475,123.723915
4936,140,19.22,10.475,131.719601
4937,148,19.72,10.475,9.9E+40
4938,156,20.22,10.475,142.527853
4939,164,20.72,10.475,153.0829
4940,172,18.72,9.975,153.705867
4941,180,19.22,9.975,161.565186
4942,188,19.72,9.975,172.706692
4943,196,20.22,9.975,174.619567
4944,204,20.72,9.975,177.718089
4945,212,18.72,9.475,186.37132
4946,220,19.22,9.475,195.029866
4947,228,19.72,9.475,223.247683
4948,236,20.22,9.475,196.333024
4949,244,20.72,9.475,222.190386
4950,52,21.22,11.475,
4951,60,21.72,11.475,
4952,68,22.22,11.475,
4953,76,22.72,11.475,
4954,84,23.22,11.475,
4955,92,21.22,10.975,
4956,100,,,
4957,108,22.22,10.975,
